iter	Passed	Remaining
969	7069	218
970	7075	211
971	7081	203
972	7087	196
973	7093	189
974	7099	182
975	7105	174
976	7112	167
977	7118	160
978	7124	152
979	7130	145
980	7136	138
981	7142	130
982	7149	123
983	7155	116
984	7161	109
985	7167	101
986	7174	94
987	7180	87
988	7186	79
989	7192	72
990	7198	65
991	7204	58
992	7211	50
993	7217	43
994	7223	36
995	7229	29
996	7236	21
997	7242	14
998	7248	7
999	7255	0
